Date,Open,High,Low,Close*,Adj Close**,Volume
9/2/2022,"1,703.40",1715.70,1703.10,1709.80,1709.80,182.00
9/1/2022,"1,707.90",1707.90,1693.90,1696.60,1696.60,683.00
8/31/2022,"1,718.30",1720.90,1708.50,1712.80,1712.80,2133.00
8/30/2022,"1,736.40",1739.00,1720.70,1723.20,1723.20,385.00
8/29/2022,"1,732.40",1741.20,1732.10,1736.60,1736.60,950.00
8/26/2022,"1,754.00",1755.00,1736.10,1736.10,1736.10,202.00
8/25/2022,"1,761.60",1761.80,1755.00,1757.70,1757.70,172.00
8/24/2022,"1,745.00",1751.80,1743.60,1747.80,1747.80,187.00
8/23/2022,"1,738.00",1748.90,1731.90,1746.80,1746.80,509.00
8/22/2022,"1,740.50",1740.50,1726.50,1734.00,1734.00,347.00
8/19/2022,"1,753.70",1754.30,1747.50,1747.60,1747.60,49.00
8/18/2022,"1,762.90",1762.90,1753.40,1755.30,1755.30,321.00
8/17/2022,"1,769.70",1769.70,1760.00,1760.30,1760.30,23.00
8/16/2022,"1,777.40",1777.40,1771.40,1773.20,1773.20,308.00
8/15/2022,"1,799.00",1799.00,1774.70,1781.40,1781.40,64.00
8/12/2022,"1,786.30",1800.40,1784.30,1798.60,1798.60,187.00
8/11/2022,"1,794.30",1794.30,1785.70,1789.70,1789.70,1235.00
8/10/2022,"1,804.40",1804.90,1787.80,1795.60,1795.60,601.00
8/9/2022,"1,790.00",1796.10,1789.00,1794.00,1794.00,249.00
8/8/2022,"1,771.80",1786.80,1771.80,1786.80,1786.80,127.00
8/5/2022,"1,791.20",1791.40,1764.20,1772.90,1772.90,645.00
8/4/2022,"1,769.40",1792.10,1767.70,1788.50,1788.50,285.00
8/3/2022,"1,756.70",1770.50,1753.00,1758.00,1758.00,399.00
8/2/2022,"1,772.10",1786.60,1759.40,1771.10,1771.10,1078.00
8/1/2022,"1,763.90",1772.50,1756.10,1769.00,1769.00,705.00
7/29/2022,"1,754.00",1765.70,1750.00,1762.90,1762.90,3485.00
7/28/2022,"1,732.30",1755.00,1732.00,1750.30,1750.30,37236.00
7/27/2022,"1,719.10",1719.10,1719.10,1719.10,1719.10,144865.00
7/26/2022,"1,718.00",1718.00,1717.70,1717.70,1717.70,1.00
7/25/2022,"1,727.00",1732.00,1719.00,1719.00,1719.00,67.00
7/22/2022,"1,713.30",1735.00,1713.00,1727.10,1727.10,61.00
7/21/2022,"1,687.00",1715.50,1679.80,1712.70,1712.70,183.00
7/20/2022,"1,707.10",1708.50,1699.50,1699.50,1699.50,130.00
7/19/2022,"1,712.30",1714.40,1706.10,1710.00,1710.00,1684.00
7/18/2022,"1,712.20",1712.40,1709.20,1709.20,1709.20,264.00
7/15/2022,"1,705.40",1709.70,1701.10,1702.40,1702.40,721.00
7/14/2022,"1,710.30",1710.50,1704.50,1704.50,1704.50,1289.00
7/13/2022,"1,710.00",1734.20,1710.00,1734.20,1734.20,368.00
